	d33009	d33018	d33031	d33039	d33120	d33209	d33211	d33369	d33413	d33430	d33451	d33455	d33512	others33013
1053_at	0.136275226	0.216892678	0	0.300955862	0	0	0.307345651	0	0	0.166076982	0	0.479609259	0	0.563785255
10531_at	6.625227552	7.118755203	6.057512916	5.684316248	5.855498595	6.070587271	5.529880109	5.712145901	5.823445786	5.885096878	6.080751035	5.9295769	5.786520633	6.519992943
10533_at	0.237139063	0.037869485	0.164423978	0.155862338	0.134837091	0.079345139	0.256561806	0.508388658	0.361073255	0.137516853	0.250878636	0.685048982	0.045307984	0.393481283
10534_at	0.606394215	0.891859695	0.601955765	0.4934176	0.433135007	0	0.27344979	0	0.68694243	0.893677018	0.661641376	0.353109807	0.752049651	0
10535_at	6.724731153	6.093814577	5.899307797	5.993013478	5.714056483	6.454246221	6.209917663	6.537840869	6.563507781	6.453525955	6.255909678	6.68691961	6.049171159	7.005795988
10536_at	7.254044764	7.42735789	6.696837904	7.614214444	7.345925547	7.16449044	7.223621448	7.206994922	7.174029688	6.497523589	7.265202052	6.631973087	7.289813365	6.949944731
105369140_at	0.031020727	0	0.090339414	0	0.232426253	0.053571844	0.073261224	0	0.155971788	0	0.101141339	0.187057214	0	0.274780873
105369155_at	4.040098458	3.80172775	4.239888273	3.416260391	4.774582011	3.578348151	3.3586661	4.795213726	4.379823576	3.565839974	3.734020439	3.779359223	4.220794912	2.159834013
105369201_at	0.5543831	0.847399921	1.293419202	0.400523865	0.703158693	0.657796127	0.458719067	0.759133065	1.042430202	1.245168776	0.542614717	0.891337507	0.205888722	0.129912788
105369205_at	5.141343048	5.726254586	5.301816165	5.832375301	6.3300522	4.997664418	5.547072203	6.032594454	5.861489617	5.85606562	5.17559582	6.296131593	5.445081283	3.515689808
105369209_at	0.104010477	0.166615862	0.830191978	0.232716284	0.37920937	0.333700684	0.779627748	0.43675401	0.938315554	0.452354602	0.806818647	1.16987915	0	0.444478982
105369212_at	0.110705785	0	0	0.033291077	0	0	0	0	0	0	0	0.045094013	0.108805266	0.132561224
105369214_at	0	0	0	0	0	0	0	0	0.183622293	0	0.175688331	0.24507517	0.383544663	0.458535105
105369246_at	0.736867802	0.125601815	0.58057038	0.333567079	0.532813903	0.568921474	0.34057107	0.479281975	0.369362325	0.185000153	0.549902312	0.483390342	0.408534676	0.619364954
105369266_at	0.247466555	0	0.354078029	1.210664513	0.460737262	0	0	0	0	0	0.392438591	0.37625192	0.451616061	1.488677321
105369535_at	5.83932756	5.436778503	6.600615206	5.346106766	5.934659456	6.078628266	5.939761052	6.529005625	7.684023984	6.401405479	5.851346161	6.997536882	3.960510079	4.536172043
105369591_at	4.325364866	5.1696348	3.955799719	4.440654969	4.857755732	4.588351699	4.960037144	5.054771912	5.754651929	3.9787187	4.302880531	4.114386351	4.452360097	2.50253185
105369669_at	0	0	0	0	0	0	0.65988015	0	0	0	0.621998729	0.174328136	0	0
105369728_at	0.212644238	0	0.305775499	0	0	0	0.25134001	0	0.353971984	0	0	0	0.391723167	0
105369869_at	1.85745193	0.357362947	2.192894039	0.98262104	0.839032577	0.713867414	0.719360852	1.186264819	0.717228414	1.20070871	2.150888936	4.53831137	1.549256027	4.440368622
105369914_at	6.60806129	6.471971024	5.961483193	6.116565124	6.250259338	5.377115039	6.524101828	6.040846753	5.847469275	4.806138729	6.31773455	4.650700614	6.131730822	5.321569268
10537_at	2.57376076	2.263790936	3.023921963	2.369710732	2.421587013	2.480399651	3.308055567	3.23561415	3.390507569	3.591852555	3.253120894	4.046963727	3.783606701	5.715725719
105370045_at	0	0	0	0	0	0	0	0	0	0	0.432707965	0	0	1.595026554
105370092_at	2.72513235	2.453957052	2.703050644	2.551562474	2.567870555	2.569774108	2.608507974	2.824690941	2.423194094	2.594635527	2.658592512	2.749876674	2.857676361	3.390346445
105370295_at	0	0	0	0	0	0	0.334842092	0.599790947	0	0.343097117	0	0	0	1.037161021
105370362_at	5.906573777	7.379936883	6.09030849	8.113512433	8.244739131	6.611172609	5.745455082	7.357184995	6.896898364	6.076092995	5.738343482	6.02952226	5.24692909	6.633011943
105370378_at	0.14494813	0.230301547	0.305300344	0.38884767	0.399193284	0	0.250942258	0.169878284	0.454309422	0.090965152	0.436313003	0.324751411	0.142488211	0.327761205
105370399_at	0.101619218	0.162864451	0	0	0	0	0	0	0	0.124163738	0	0.301485815	0.193270652	0.435342228
105370579_at	0.120058661	0	0	0.204637053	0	0	0.142730749	0.140913639	0	0	0.520978638	0.186734317	0.11800405	0
105370641_at	0	0	0	0	0	0	0	0	0	0	0.45219527	0.061927394	0.14823161	0
105370687_at	0	0	0.201919228	0.082915638	0.266869995	0.121610331	0.240806541	0.162833647	0.235050817	0.246937805	0.116915698	0.606903379	0.376029699	0.573140692
105370691_at	0.144097201	0.119032375	0.108456238	0	0.144831224	0	0	0	0.243573815	0.090421245	0.121334874	0.273905086	0.141651025	0
105370705_at	8.212951446	7.949088179	8.399544703	8.683570647	8.894767458	8.046673225	7.847392589	8.266144071	8.213127773	8.28273384	7.925278394	8.21080748	8.059860482	7.575533667
105370706_at	5.631367217	4.684286611	5.618657887	4.809991602	4.531269324	4.880348301	4.465736206	5.152461145	4.036719574	5.976023703	6.103264534	5.309974634	5.698923633	5.982069796
105370708_at	0.239538543	0.198982057	0	0.144997261	0	0	0	0	0.211793773	0	0.538649867	0.443084059	0	0
105370733_at	0.172700932	0.03707451	0	0.128361002	0	0	0.053942604	0.053234918	0	0	0.074659272	0.235340431	0.129184364	0
105370849_at	5.982925266	5.887671705	5.712349533	5.069859984	5.660010681	5.025732549	5.595475292	6.091379466	5.499915116	5.688385152	5.238257846	6.106035212	5.233914439	5.213079946
105370980_at	0.303728124	0	0	0	0	0	0	0	0.496011056	0	0	0	0	0
105371031_at	2.426305184	2.530199895	2.975504194	4.553423564	4.933959599	2.387014154	2.259008494	4.046043101	2.393970214	3.159101672	4.356947319	3.505068957	3.582756682	6.407385889
105371045_at	0.981499707	0.669992712	0.894125692	0.850299092	0.787206076	0.861323033	1.057498292	0.423737739	0.761443883	0.775022622	0.974365824	0.628541144	0.712022502	1.455269566
105371063_at	3.600945034	4.182698649	3.963829743	2.670682989	4.547608631	2.475031433	3.011408012	5.471298913	6.687364147	5.090416723	5.296264823	2.635613806	3.921388285	7.029045908
105371095_at	5.000687192	5.564049885	5.284291993	5.394680452	5.923498176	5.742579262	5.740706073	5.633228005	5.841474772	4.831542769	4.49019734	5.236901681	5.222144001	2.322687158
105371191_at	0	0	0	0	0	0	0	0	0	0	0.237460063	0.118049791	0.506644593	0.601127565
105371242_at	0.162368673	0	0	0	0	0	0	0	0	0.10212562	0.37686452	0	0	0
105371253_at	0.133961603	0	0.194903527	0	0	0	0	0	0	0	0.217301855	0.207820409	0.252339454	0
105371346_at	0	0.244484917	0	0	0	0	0	0	0	0	0.249013529	0.534979307	0	0
105371371_at	3.720324213	2.980151393	3.043140126	3.439971178	4.199007287	3.895017639	4.103406338	3.869473956	4.205547447	3.606741123	4.465255802	3.488880527	3.211880339	2.399347012
105371409_at	2.18581684	0.221682564	1.770782156	0.872792648	1.152900743	0.770744014	0.448508346	2.344043403	0.916829267	0.999481187	3.269268562	1.341584471	1.481865182	3.142829739
105371419_at	5.297982411	4.123599412	5.396352151	4.5607607	5.805407411	5.812045362	4.705948246	5.219807426	5.555395506	5.3977672	5.156737227	5.774354185	3.915429495	3.975549339
105371448_at	4.997942335	5.208418113	5.21460435	4.727024254	5.238261851	5.333117717	5.168024016	5.472912011	4.88785469	5.076049069	4.780555285	5.36852981	4.997479544	4.483271788
105371566_at	4.951945303	5.39002586	4.884740453	4.788299921	5.375469927	4.197424649	5.217909107	5.365140701	5.111547953	4.863728751	5.174256417	5.132052553	5.170066015	4.200409579
105371598_at	0.482889935	2.87723252	0.798022251	0.43196391	0.485085437	0	0.874754291	1.842043033	2.419687244	1.303802602	2.802669358	2.76052176	1.900407345	5.722652399
105371727_at	0	0	0	0	0	0	0.307883402	0	0.430385031	0	0	0.211701142	0	0.969486019
105371763_at	0	0	0.229298304	0.3463461	0	0.138617754	0.187598948	0.185246336	0.139407316	0.099439255	0.255311933	0.186999176	0.155509738	0
105371844_at	0.19060968	0.300188432	0.704798532	0.220782265	0	0	0	0.415763007	0	0.430720236	0.305644087	0.925743701	0	0
105371910_at	2.990916952	2.710305331	1.578601737	2.635925482	2.897151016	2.331199712	2.107685775	3.268804165	2.656366759	2.459173313	3.416227497	2.413415638	2.278140362	3.127782323
105371921_at	8.147851803	8.283914268	7.860065087	7.611790955	7.682701935	8.713479381	9.126449673	7.45921749	7.649763272	8.472404697	7.635083359	9.039902406	8.143947404	8.82613263
105371930_at	0.240714829	0	0	0	0	0	0	0	0	0	0	0	0	0
105371932_at	0.177436398	0	0	0	0	0	0	0	0	0	0.28527235	0	0	0
105371933_at	0.479542438	0.516492977	0	0.206490275	0.612163677	0	0.211018891	0.390449046	0.546242811	0.571052334	0.525222704	0.792871638	0.331341306	0
105372109_at	0	0	0	0	0	0	0.184203217	0	0	0.09758539	1.386159755	0.582708746	0	0.34966264
105372204_at	0.089157329	0.143256582	0.130623922	0	0	0	0	0.380167339	0	0.109040188	0.146004419	0.139484564	0	0
105372269_at	0.240758618	0	0.182680996	0.05024083	0.383287131	0.074074824	0.101040091	0.363236133	0.145352898	0.334507548	0.203771462	0.784915403	0.236801166	0.369821434
105372280_at	0	0.672018512	0	0	0	0	0	0	1.18190158	0	1.493544813	0.365643115	0	0
105372315_at	2.326559605	2.338566387	2.573856626	1.828231267	1.614352986	1.43850549	1.342539833	2.644676861	1.884849746	2.211202722	3.522602805	2.585061296	3.008943106	5.732592299
105372319_at	0.093494492	0.349478773	0	0.055462345	0	0	0	0.109908743	0	0.058285225	0.291253143	0.110976013	0	1.091543309
105372412_at	0.37840695	1.645341659	2.282106053	0.76743126	1.326282376	0.430828804	1.602445636	1.645037475	3.397786481	1.344242883	2.371635172	3.360735404	2.271810325	5.36770307
105372478_at	2.082316516	0.221004665	1.634072122	0.306499814	0	0.768773309	0.447236387	1.134373444	0.614492808	0.804870393	1.23331756	1.702040878	1.478807283	4.520823699
105372585_at	0	0	0	0	0.27152898	0	0	0.314458243	0	0	0.229048498	0.113701242	0	0.995811549
105372698_at	0.156390383	0.066088526	0.173324583	0.223494507	0	0	0	0	0.202085033	0.049981983	0.309292085	0.064303022	0.15374643	0.18669809
105372704_at	0.350095284	0	0.493933755	0.146891372	0.243762691	0	0	0.51900656	0	0.293364409	0.385030548	0.101501341	0.238583003	0
105372714_at	1.213999002	0.593156205	0.854292793	0.710389615	0.554151557	0.856614497	1.886752084	2.042967867	1.152795725	1.801542105	1.026870823	1.312367359	0.204770493	1.522845271
105372798_at	0.078978889	0	0.17053346	0.135953033	0.079390312	0.068975529	0.094144273	0.180226805	0	0.230511172	0.190311873	0.123802526	0	0.747589361
105372824_at	0.355182276	0	0.272006861	0.407967071	0	0	0	0.411479943	0	0	0.30237929	0.152022994	0	0
105372836_at	2.273333071	0.684967953	0.24351565	0.520481867	0.582467915	0.281304107	0	0.370152438	0	2.016723544	2.524248094	2.215294424	1.778086028	5.92363091
105372883_at	6.993923783	8.016822792	7.244947713	7.468778021	7.998144242	8.500858737	8.379378296	7.907381913	8.033678021	8.365843201	7.056874829	7.969275963	7.747007639	3.874678871
105372977_at	0.379059447	0.797540797	0.29084068	0	0	0	0	0	0.839347709	0	0	0.564131676	0	0
105372978_at	0.565267032	0.477934564	0	0	0	0	0	0.648122391	0	0	0	1.101446985	0	0
105373057_at	0.223710108	0.126391534	0	0.177492686	0	0	0	0	0	0.096069906	0.128830131	0.48608515	0.150337223	0.344669461
105373091_at	0.142150057	0	0	0	0	0	0.168755872	0	0	0.173161307	0.428660718	0.220190764	0	0
105373132_at	0	0	0	0.113206232	0	0	0	0	0	0	0	0.077943884	0	0
105373289_at	0.112366385	0.179696986	0	0	0	0	0.133651985	0.467885351	0	0.377700505	0	0.537481427	0	0.476075431
105373392_at	0	0.183807548	0.454215794	0	0	0	0.136758633	0	0	0	0	0.092291576	0.217837599	0.485921227
105373395_at	0.274928327	0	0	0	0	0	0	0	0	0	0	0.416075162	0	0
